imglink,title,category,videolink
https://img.youtube.com/vi/FXDWtYsu1dQ/0.jpg,플랭크 동작을 응용한 7가지 플랭크 운동,전신,https://www.youtube.com/embed/FXDWtYsu1dQ?rel=0&autoplay=1
https://img.youtube.com/vi/qM03Ar9j250/0.jpg,체지방을 지우는 탁월한 운동 - 15분 전신운동,전신,https://www.youtube.com/embed/qM03Ar9j250?rel=0&autoplay=1
https://img.youtube.com/vi/ixjdNUtWN-Y/0.jpg,10대들을 위한 효과적인 8분 운동,전신,https://www.youtube.com/embed/ixjdNUtWN-Y?rel=0&autoplay=1
https://img.youtube.com/vi/_ZIOpLR4Lz4/0.jpg,초보자를 위한 20분 걷기 운동,전신,https://www.youtube.com/embed/_ZIOpLR4Lz4?rel=0&autoplay=1
https://img.youtube.com/vi/tfZKL3qnYE0/0.jpg,높은 강도 운동으로 1000 Kcal 소비하기,전신,https://www.youtube.com/embed/tfZKL3qnYE0?rel=0&autoplay=1
https://img.youtube.com/vi/jfQQ7tswfdM/0.jpg,45분 동안 500칼로리 소모되는 운동,전신,https://www.youtube.com/embed/jfQQ7tswfdM?rel=0&autoplay=1
https://img.youtube.com/vi/bQPmI72tajw/0.jpg,우월한 클로에 카다시안 운동법 - 레베카 루이즈,전신,https://www.youtube.com/embed/bQPmI72tajw?rel=0&autoplay=1
https://img.youtube.com/vi/gdrRP2tqPIo/0.jpg,30분 힙합 그루브로 지방 태우기,전신,https://www.youtube.com/embed/gdrRP2tqPIo?rel=0&autoplay=1
https://img.youtube.com/vi/WmosxodoUxk/0.jpg,레베카 언니의 아침 전신 운동,전신,https://www.youtube.com/embed/WmosxodoUxk?rel=0&autoplay=1
https://img.youtube.com/vi/UzMJ6dVwyRs/0.jpg,초보자를 위한 전신 25분 운동,전신,https://www.youtube.com/embed/UzMJ6dVwyRs?rel=0&autoplay=1
https://img.youtube.com/vi/6egcyZ1mFxo/0.jpg,부상 회복에 도움이 되는 의자 운동,전신,https://www.youtube.com/embed/6egcyZ1mFxo?rel=0&autoplay=1
https://img.youtube.com/vi/dqNCAJqAFxg/0.jpg,체력을 키워주는 전신덤벨운동,전신,https://www.youtube.com/embed/dqNCAJqAFxg?rel=0&autoplay=1
https://img.youtube.com/vi/o-n-HCXMUdw/0.jpg,20분 유산소 운동을 통해 체지방 불태우기,전신,https://www.youtube.com/embed/o-n-HCXMUdw?rel=0&autoplay=1
https://img.youtube.com/vi/Uh3QdLg9DCA/0.jpg,발레동작을 활용한 초급 전신운동,전신,https://www.youtube.com/embed/Uh3QdLg9DCA?rel=0&autoplay=1
