NUM,MENU_NM,AVG_PRC,식단,이미지,칼로리,지방,탄수화물,단백질
97,조개탕,16000,일반,https://recipe1.ezmember.co.kr/cache/recipe/2016/10/25/b3d63965b6ca8a75db0c88dcf735f8c91.jpg,53,1.49,2.79,6.91
98,해물탕,23000,일반,https://m.cj.co.kr/images/theKitchen/PHON/0000001684/0000006228/0000001684.jpg,80,1.54,4.29,11.89
99,된장찌개,8000,일반,https://crcf.cookatmarket.com/product/images/2021/02/cado_1613527607_3425_720.jpg,171,5.6,16.77,15.1
100,빈대떡,13000,일반,https://upload.wikimedia.org/wikipedia/commons/c/c7/Bindae-tteok.jpg,215,8.61,26.72,9.84
101,곰국,11000,일반,https://sitem.ssgcdn.com/76/73/23/item/1000289237376_i1_750.jpg,190,9.29,1.79,24.35
102,핫도그,2300,일반,https://cdn.iconsumer.or.kr/news/photo/202110/21844_24989_154.jpg,242,14.54,18.03,10.39
103,비건잡채,4900,비건,https://recipe1.ezmember.co.kr/cache/recipe/2017/01/22/1f1b975df8dcf3fe78c5f8c820ffa8171.jpg,291,6.6,48.5,9.4
104,맥앤치즈,8000,비건,https://static.wtable.co.kr/image-resize/production/service/recipe/389/4x3/c02b1739-1305-47a5-8068-bf7c7ee460d9.jpg,250,4.5,44,8
105,두부스테이크,6000,비건,https://static.wtable.co.kr/image/production/service/recipe/75/947f2352-6847-49db-9067-9bdd7de672d2.jpg,254,6.57,33.56,15.86
106,감자그라탕,6000,비건,https://www.unileverfoodsolutions.co.kr/dam/global-ufs/mcos/south-korea/calcmenu/recipes/kr-recipes/western/header/%EA%B0%90%EC%9E%90%EA%B7%B8%EB%9D%BC%ED%83%95-Potato-Grain-Header.jpg,335,17,33,13
107,또띠아피자,12500,일반,https://mblogthumb-phinf.pstatic.net/MjAyMDA0MDFfMjYy/MDAxNTg1Njk4MDIzMTg1.FVjn2h36UewdcDhRetqIQiSA4qtdhXh18V9Wxk_gKnMg.LyNLMWuWXM0YRGIp2o5p9IEMmCl-YDR1Q9t3thshnsAg.JPEG.pyask0702/1585698024724.jpg?type=w800,353,17.5,26.7,21.6
108,베이글,3300,비건,https://sitem.ssgcdn.com/02/02/72/item/2097001720202_i1_750.jpg,270,1.7,53.02,10.52
109,갈비,12000,고단백,https://cdn.imweb.me/upload/S2020041334b66edb88d0c/7b46afae5359e.jpg,480,27.35,1.78,53.11
110,돼지고기마늘종볶음밥,12000,키토,https://static.wtable.co.kr/image/production/service/recipe/1425/31dd535a-ce19-48b8-bc0d-650971f5f864.jpg,247,15,17,13.5
111,카레라이스,10900,키토,https://i.namu.wiki/i/QUSohbmt0G1CuYZKW-skuN5K3HAjf88GgTttXS0EphnSMWN8UkV-nYCb3hCCNNbs2m6pjyNF2MLbdQO8cBy1gA.webp,544,14.91,71.72,34.54
112,곤약떡볶이,7900,키토,https://m.slow-rabbit.com/web/product/big/202103/8f5250b480a419b612d87fc54dc3aed5.jpg,295,3,13,1
113,양배추전,7000,키토,https://static.wtable.co.kr/image/production/service/recipe/1001/7a01733d-8296-470e-80cd-c12223282dad.jpg?size=1050x1050,421,25,37.5,11.6
114,콩불고기,13000,비건,"https://static.wixstatic.com/media/a40348_72f49d89a8584d1e8146c010a2c7b9e2~mv2_d_4608_3456_s_4_2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/a40348_72f49d89a8584d1e8146c010a2c7b9e2~mv2_d_4608_3456_s_4_2.jpg",205,3.4,31,13
115,족발,22000,고단백,https://htable.co.kr/web/product/tiny/202202/1ed2857ed5ac4dbfbcf02741704a5ec4.jpg,458,31.42,0.64,43.06
116,코다리조림,28000,일반,https://m.62life.com/images/gdimg/p_1[10].jpg,219,5.14,11.47,29.08
117,소고기뭇국,9000,일반,https://thenaum.cdn-nhncommerce.com/data/goods/21/05/20/1000008258/1000008258_detail_039.jpg,192,8.62,12.07,16.43
118,연어 포케,13900,키토,https://img.siksinhot.com/place/1579502890490981.jpg?c=Y,470,14,56,30
119,라따뚜이라자냐,15000,비건,https://s3-ap-northeast-1.amazonaws.com/agreable-shoplink/item/templates/a7fd0bd75a884e24adf66d6d5773df9b.jpg,335,10,42.08,19.28
120,가지덮밥,9000,비건,https://static.wtable.co.kr/image/production/service/recipe/1710/4a47acbf-ff01-42bb-b571-4a5fef49283b.jpg,520,14,133,20
121,두부면파스타,8000,비건,https://malltr0059.cdn-nhncommerce.com/data/goods/22/05/19/1000000885/1000000885_detail_144.png,261,17,11,16
122,그릭요거트,4500,키토,https://www.k-health.com/news/photo/202312/69252_75946_1827.jpg,117,9.19,5.04,4.05
123,피쉬타코,6000,비건,https://img.siksinhot.com/article/1661309043431828.jpg,369,20.55,26.73,20.66
124,계란말이,4900,고단백,https://cdn-pro-web-228-238.cdn-nhncommerce.com/sdhfood1_godomall_com/data/goods/21/07/30/1000000030/1000000030_main_075.jpg,336,22.4,6.53,25.46
125,비건함박스테이크,22000,비건,https://cdn.imweb.me/thumbnail/20230929/9d8caaacb8ed9.png,290,14,28,13
126,양갈비,31000,키토,https://static.wtable.co.kr/image/production/service/recipe/2303/ab43b135-06a1-4004-8f10-917f3acec43f.jpg?size=800x800,226,17.55,0,15.86
127,비건스테이크,33000,비건,https://www.vegannews.co.kr/data/photos/20230520/art_16844608309148_aa4e86.jpg,252,15,0,27.3
128,토마토비빔밥,8000,비건,https://t1.daumcdn.net/cfile/tistory/26597136580EE20424,554,19.9,62.6,33.3
129,떡국,9000,일반,https://static.wtable.co.kr/image/production/service/recipe/166/a071f9b7-f412-4101-b4a2-99f85a012dd8.jpg?size=800x800,504,3.2,98.2,20.6
130,아보카도샌드위치,8900,키토,https://i.ytimg.com/vi/9DPUaxSz9i4/maxresdefault.jpg,222,12,22,7
131,에그인헬,12000,키토,https://static.wtable.co.kr/image-resize/production/service/recipe/682/1x1/d537a9fb-f807-4b17-8ac4-9cbb46ac3f32.jpg,393,29.3,14.3,19.9
